Column1,volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
run3,10377,1932,1932,1896,1932,m,us,11.00996756,4.13E-06,0,1,"Dos Passos, John,",1919,teamred | chirandom
run3,nyp.33433074926712,1920,1920,1867,1920,m,uk,15.07488882,6.76E-05,0,1,"Benson, E. F.","""Queen Lucia""",teamred | random
run3,25620,1995,1995,0,1995,f,us,12.34672521,1.11E-05,0,1,"Shigekuni, Julie,",A bridge between us,chirandom
run3,22678,1987,1987,1944,1987,m,us,11.21262161,2.22E-06,0,1,"Friedman, Kinky,",A case of Lone Star,teamred | chimyst | chirandom
run3,20194,1955,1955,1912,1955,f,us,14.08438847,0.000109622,0,1,"McCarthy, Mary",A charmed life,teamred | chirandom
run3,nyp.33433075746895,1909,1911,1851,1909,m,us,15.9434189,0.999999801,1,1,"Serviss, Garrett Putman,",A Columbus of space,teamblack | locscifi | anatscifi
run3,mdp.39015066036578,1889,1896,1835,1889,m,us,15.51865078,0.173763759,1,1,"Twain, Mark,",A Connecticut Yankee in K,stew | teamblack | anatscifi
run3,njp.32101013621246,1887,1906,1841,1887,m,uk,21.26786965,0.506717907,1,1,"Hudson, W. H.",A crystal age,teamred | anatscifi
run3,21028,1972,1972,1921,1972,f,us,11.87419268,1.71E-06,0,1,"Highsmith, Patricia,",A dog's ransom,teamred | crime | chirandom
run3,nyp.33433082173273,1894,1894,1864,1894,m,us,17.7699177,0.99549802,1,1,"Astor, John Jacob,",A journey in other worlds,stew | teamblack | anatscifi
run3,10269,1927,1927,1876,1927,f,us,11.60656023,0.006764494,0,1,"Glaspell, Susan,",A jury of her peers,teamred | chimyst | chirandom
run3,25445,1994,1994,0,1994,m,us,11.83175184,0.016320273,0,1,"Block, Lawrence,",A long line of dead men,chirandom
run3,11927,1950,1950,1886,1950,m,uk,14.25857589,0.163072758,1,1,"Stapledon, Olaf,",A man divided,teamred | chiscifi
run3,11709,1942,1942,1895,1942,f,nz,12.4766178,5.54E-05,0,1,"Marsh, Ngaio,",A man lay dead,teamblack | cozy | chimyst | chirandom
run3,24094,1994,1994,1953,1994,f,us,12.79580905,9.92E-05,0,1,"Pelletier, Cathie,",A marriage made at Woodstock,chirandom
run3,22787,1987,1987,1943,1987,m,us,11.86220383,0.000376244,0,1,"Swift, Edward,",A place with promise,teamred | chirandom
run3,uc2.ark+=13960=t2794143s,1912,1917,1875,1912,m,us,16.43514102,0.99991842,1,1,"Burroughs, Edgar Rice,",A princess of Mars,teamred | anatscifi
run3,nyp.33433076056781,1891,1891,0,1891,m,,12.48896384,0.982067317,1,1,"Ward, Herbert Dickinson,",A republic without a pres,stew | teamblack | locscifi
run3,uc2.ark+=13960=t7hq41f5s,1909,1909,1858,1909,m,uk,13.50587435,0.000153903,0,1,"Ayscough, John,",A Roman tragedy and other,teamblack | random
run3,uiuo.ark+=13960=t7cr65585,1886,1886,1855,1886,f,uk,15.84721802,0.996455298,1,1,"Corelli, Marie,",A romance of two worlds,teamred | locscifi | femscifi
run3,10838,1947,1947,1906,1947,m,au,12.7553057,0.015606345,0,1,"Blunden, Godfrey",A Room on the Route,teamblack | chirandom
run3,21412,1977,1977,1928,1977,m,us,12.81409114,0.730802675,1,1,"Dick, Philip K,",A scanner darkly,teamblack | chiscifi
run3,20075,1952,1952,1908,1952,m,us,10.53537368,0.009152869,0,1,"Powell, Richard,",A shot in the dark,teamblack | chimyst | chirandom
run3,22325,1985,1985,1968,1985,m,us,12.22978302,0.000320108,0,1,"Collins, Max Allan,",A shroud for Aquarius,teamred | chimyst | chirandom
run3,dul1.ark+=13960=t3zs3df24,1888,1888,1833,1888,m,us,14.82110655,0.99999908,1,1,"De Mille, James,",A strange manuscript foun,teamblack | locscifi | anatscifi
run3,dul1.ark+=13960=t1qf9cr59,1906,1906,1851,1906,m,uk,15.05113135,0.981353359,1,1,"Ford, Douglas Morey.",A time of terror,stew | teamblack | locscifi
run3,21672,1979,1979,1944,1979,m,us,12.70513191,0.999938171,1,1,"Stasheff, Christopher,",A wizard in Bedlam,teamred | chifantasy | chiscifi
run3,inu.30000042750632,1901,1901,1865,1901,f,au,15.45039586,0.51939899,1,1,"Ling, M. A. Moore Bentley",A woman of Mars,teamred | femscifi
run3,20677,1966,1966,1922,1966,m,us,11.85326849,0.000120089,0,1,"Capps, Benjamin,",A woman of the people,teamred | chirandom
run3,21351,1976,1976,1938,1976,m,us,10.50571762,0.999999637,1,1,"Niven, Larry,",A world out of time,teamblack | chiscifi
run3,20505,1962,1962,1918,1962,f,us,12.0495196,0.985145388,1,1,"L'Engle, Madeleine,",A wrinkle in time,teamblack | chifantasy | chiscifi
run3,nyp.33433075843544,1892,1892,1833,1892,m,fr,16.58579126,1.65E-07,0,1,"Theuriet, Andr?,",A young man of the period,teamred | random
run3,dul1.ark+=13960=t3dz0xh78,1880,1880,1836,1880,m,uk,19.46184022,0.999999904,1,1,"Greg, Percy,",Across the zodiac,teamblack | locscifi | anatscifi
run3,mdp.39015078569723,1880,1880,1836,1880,m,uk,16.8030693,0.142809054,1,1,"Greg, Percy,",Across the zodiac,teamred | anatscifi
run3,uc1.b3578701,1880,1880,1836,1880,m,uk,17.66598768,0.940458641,1,1,"Greg, Percy,",Across the zodiac,teamblack | locscifi | anatscifi
run3,20837,1969,1969,1899,1969,m,us,18.61740323,0.083561804,0,1,"Nabokov, Vladimir Vladimi",Ada,teamblack | chirandom
run3,20582,1964,1964,1914,1964,m,us,15.06053519,0.048015755,0,1,"Fast, Howard,",Agrippa's daughter,teamblack | chirandom
run3,21670,1979,1979,0,1979,m,us,12.5237413,0.880210532,1,1,"Schulman, J. Neil 1953-",Alongside night,teamblack | chiscifi
run3,uiuo.ark+=13960=t9474zg09,1883,1883,1829,1883,m,uk,19.40058606,0.000347554,0,1,"Oliphant, Laurence,",Altiora Peto,teamred | random
run3,coo.31924013525971,1908,1908,1855,1908,m,uk,13.38118435,8.91E-07,0,1,"Moore, Frank Frankfort,",An amateur adventuress,teamred | random
run3,10181,1946,1946,1905,1946,f,us,12.02241541,0.999926991,1,1,"Rand, Ayn,",Anthem,teamred | chiscifi
run3,21734,1980,1980,1927,1980,m,us,11.72656143,0.466655883,0,1,"Herzog, Arthur,",Aries rising,teamred | chirandom
run3,22305,1985,1985,1941,1985,m,us,11.98113002,0.99978651,1,1,"Benford, Gregory,",Artifact,teamblack | chiscifi
run3,uiuo.ark+=13960=t0ft97228,1876,1876,1830,1876,m,uk,15.01046194,0.000160849,0,1,"Robinson, Frederick Willi",As long as she lived,teamred | random
run3,20683,1966,1966,1942,1966,m,us,11.93920038,0.999926048,1,1,"Delany, Samuel R,",Babel-17,teamred | chiscifi
run3,21967,1982,1982,1911,1982,m,us,10.9003249,0.999958762,1,1,"Hubbard, L. Ron,",Battlefield earth,teamred | chiscifi | chirandom
run3,uc2.ark+=13960=t17m0b23x,1895,1895,0,1895,m,,13.14672401,0.001608997,1,1,"Besant, Walter,",Beyond the dreams of avar,teamred | stew | locscifi
run3,10361,1931,1931,1895,1931,m,us,13.1181613,0.938100493,1,1,"Schuyler, George S.",Black no more,teamblack | chiscifi
run3,22723,1987,1987,1933,1987,m,us,10.78888877,0.000229362,0,1,"Logue, John,",Boats against the current,teamblack | chirandom
run3,23825,1992,1992,1952,1992,m,us,11.65465731,0.028184099,0,1,"McCammon, Robert R,",Boy's life,chirandom
run3,11043,1932,1932,1894,1932,m,uk,12.86505424,0.99322843,1,1,"Huxley, Aldous,",Brave new world,teamblack | chiutopia | chiscifi
run3,21147,1973,1973,1922,1973,m,us,12.32009498,0.62897986,1,1,"Vonnegut, Kurt,",Breakfast of Champions,teamred | chiscifi
