volid,dateused,pubdate,birthdate,firstpub,gender,nation,allwords,logistic,realclass,trainflag,author,title,genretags
4528,1921,1921,1875,1921,m,us,13.24755509,0.074852079,1,1,"Burroughs, Edgar Rice,",The mucker,teamblack | chiscifi
4599,1921,1921,1894,1921,m,us,12.7605083,1.09E-05,0,1,"Nathan, Robert,",Autumn,teamred | chirandom
4655,1922,1922,1875,1922,m,us,13.25366315,0.98705432,1,1,"Burroughs, Edgar Rice,",The chessmen of Mars,teamblack | chiscifi | stew
4690,1922,1922,1857,1922,m,us,14.3928426,0.022465491,0,1,"Hough, Emerson,",The young Alaskans on the,teamred | chirandom
4748,1922,1922,1877,1922,m,us,12.43305868,0.965048371,0,1,"Traprock, Walter E.",My northern exposure,teamblack | chirandom
10008,1923,1923,1875,1923,m,us,12.75302857,0.999675074,1,1,"Burroughs, Edgar Rice,",Pellucidar,teamred | chiscifi | stew
10053,1928,1928,1875,1928,m,us,13.99386406,0.999508984,1,1,"Burroughs, Edgar Rice,",The master mind of Mars,teamblack | chiscifi
10083,1930,1930,1875,1930,m,us,14.5930085,0.999943092,1,1,"Burroughs, Edgar Rice,",Tarzan at the earth's cor,teamred | chifantasy | chiscifi
10086,1930,1930,1862,1930,m,us,13.65525018,0.064313098,0,1,"Stratemeyer, Edward,",With Taylor on the Rio Gr,teamblack | chirandom
10090,1931,1931,1887,1931,m,us,10.96691707,0.999964337,1,1,"Cummings, Ray,",Brigands of the moon,teamblack | chiscifi
10096,1931,1931,1884,1931,m,us,12.68619097,0.999846877,1,1,"Merritt, Abraham,",Face in the abyss,teamred | chiscifi
10181,1946,1946,1905,1946,f,us,12.02241541,0.999624738,1,1,"Rand, Ayn,",Anthem,teamred | chiscifi
10202,1950,1950,1909,1950,m,us,13.19390351,0.00122994,0,1,"Castor, Henry,",The year of the Spaniard,teamred | chirandom
10216,1924,1924,1896,1924,m,us,12.3972572,0.046683706,0,1,"Bromfield, Louis,",The green bay tree,teamblack | chirandom
10235,1925,1925,1875,1925,m,us,12.70492452,0.994743851,1,1,"Burroughs, Edgar Rice,",The moon men,teamblack | chiscifi | stew
10269,1927,1927,1876,1927,f,us,11.60656023,0.026268805,0,1,"Glaspell, Susan,",A jury of her peers,teamred | chimyst | chirandom
10270,1927,1927,1865,1927,f,us,12.35248313,0.059591756,0,1,"Hill, Grace Livingston,",Job's niece,teamblack | chirandom
10301,1929,1929,1875,1929,m,us,13.97207528,0.995118839,1,1,"Burroughs, Edgar Rice,",Tanar of Pellucidar,teamred | chiscifi | stew
10302,1929,1929,1875,1929,m,us,13.54089876,0.9967081,1,1,"Burroughs, Edgar Rice,",The monster men,teamred | chiscifi | stew
10310,1929,1929,1891,1929,m,us,13.41618888,0.999989576,1,1,"Kline, Otis Adelbert,",The planet of peril,teamblack | chiscifi | stew
10312,1929,1929,1885,1929,m,us,15.5333881,0.001244436,0,1,"Lewis, Sinclair,",Dodsworth,teamblack | chirandom
10336,1930,1930,1891,1930,m,us,15.17521985,0.999999605,1,1,"Kline, Otis Adelbert,",Maza of the moon,teamred | chiscifi | stew
10337,1930,1930,1891,1930,m,us,13.92361386,0.999982826,1,1,"Kline, Otis Adelbert,",The prince of peril,teamblack | chiscifi
10353,1931,1931,1865,1931,f,us,13.41610865,0.001092147,0,1,"Hill, Grace Livingston,",The chance of a lifetime,teamred | chirandom
10355,1931,1931,1896,1931,m,us,11.70520579,0.923987971,1,1,"Leinster, Murray,",Murder madness,teamblack | chiscifi
10357,1931,1931,1884,1931,m,us,12.68742166,0.999846967,1,1,"Merritt, Abraham,",The face in the abyss,teamblack | chifantasy | chiscifi
10361,1931,1931,1895,1931,m,us,13.1181613,0.919290374,1,1,"Schuyler, George S.",Black no more,teamblack | chiscifi
10362,1931,1931,1892,1931,m,us,11.79176168,0.189090292,1,1,"Smith, Thorne,",The night life of the god,teamblack | chifantasy | chiscifi
10377,1932,1932,1896,1932,m,us,11.00996756,4.24E-05,0,1,"Dos Passos, John,",1919,teamred | chirandom
10435,1934,1934,1906,1934,m,us,12.68305606,0.074623365,0,1,"Dickson, Carter,",The Plague court murders,teamred | chimyst | chirandom
10476,1935,1935,1885,1935,m,us,16.85492821,0.14266308,1,1,"Lewis, Sinclair,",It can't happen here,teamred | chiscifi
10526,1937,1937,1866,1937,m,us,13.49520649,0.999947164,1,1,"Pseudoman, Akkad,",Zero to eighty,teamblack | chiscifi | chirandom
10531,1937,1937,1902,1937,m,us,10.4626821,0.007918208,0,1,"Steinbeck, John,",Of mice and men,teamred | chirandom
10542,1938,1938,1875,1938,m,us,12.59475791,0.177822191,1,1,"Burroughs, Edgar Rice,",The lad and the lion,teamred | chiscifi
10645,1941,1941,1884,1941,m,us,13.05139669,0.999999978,1,1,"Merritt, Abraham,",The metal monster,teamred | chiscifi | stew
10679,1942,1942,1884,1942,m,us,11.72637957,0.772650302,1,1,"Merritt, Abraham,",Burn: witch: burn!,teamred | chimyst | chiscifi | stew
10690,1942,1942,1876,1942,f,us,12.45387499,0.019773857,0,1,"Rinehart, Mary Roberts,",The door,teamred | chimyst | chirandom
10733,1944,1944,1915,1944,f,us,10.64192348,0.000993914,0,1,"Brackett, Leigh,",No good from a corpse,teamred | chimyst | chirandom
10736,1944,1944,1875,1944,m,us,13.11078578,0.999702171,1,1,"Burroughs, Edgar Rice,",Land of terror,teamred | chifantasy | chiscifi
10761,1944,1944,1905,1944,f,us,10.38367718,8.71E-06,0,1,"Walker, Mildred",Winter wheat,teamred | chirandom
10793,1945,1945,1874,1945,f,us,17.54665134,0.050096821,0,1,"Stein, Gertrude,",Wars I have seen,teamred | chirandom
10803,1946,1946,1903,1946,m,us,12.27852683,0.019424373,0,1,"Busch, Niven,",Day of the conquerors,teamblack | chirandom
10808,1946,1946,1887,1946,m,us,10.85026566,0.999991866,1,1,"Cummings, Ray,",The shadow girl,teamblack | chiscifi
10827,1946,1946,1898,1946,m,us,12.03415267,0.911258035,1,1,"Sherman, Harold M.",The green man,teamblack | chiscifi | stew
10829,1946,1946,1883,1946,,us,12.18915279,0.999975464,1,1,"Taine, John,",The time stream,teamred | chiscifi | stew
10832,1946,1946,0,1946,,us,13.47008211,0.999998184,1,1,"Van Vogt, A. E. 1912-  (A",Slan,teamblack | chiscifi | stew
10834,1946,1946,1903,1946,m,us,12.89808714,0.99999451,1,1,"Wellman, Manly Wade,",The solar invasion,teamred | chiscifi
10835,1946,1946,1909,1946,f,us,14.09675398,0.000154569,0,1,"Welty, Eudora,",Delta Wedding,teamblack | chirandom
10838,1947,1947,1906,1947,m,au,12.7553057,0.074714872,0,1,"Blunden, Godfrey",A Room on the Route,teamblack | chirandom
10853,1947,1947,0,1947,m,us,11.40549556,0.999330928,1,1,"Heinlein, Robert A.",Rocket ship Galileo,teamred | chiscifi | chirandom
10862,1947,1947,1906,1947,m,us,11.82702288,0.050332943,0,1,"Myers, John Myers,",The wild Yazoo,teamred | chirandom
10874,1947,1947,1883,1947,,us,12.83529984,0.976196275,1,1,"Taine, John,",The forbidden garden,teamred | chiscifi
10911,1948,1948,0,1948,m,us,12.10183974,0.125399916,0,1,"Queen, Ellery,",Ten days' wonder,teamblack | stew | det100 | cozy | chimyst | chirandom
10916,1948,1948,1904,1948,m,us,11.9724888,0.999483586,0,1,"Skinner, B. F.",Walden Two,teamblack | chiutopia | chirandom
10917,1948,1948,1890,1948,m,us,14.88957978,0.999999999,1,1,"Smith, E. E.",Skylark three,teamred | chiscifi
10922,1948,1948,1897,1948,m,us,11.70291485,0.073840989,0,1,"Wilder, Thornton,",The ides of March,teamred | chirandom
10923,1948,1948,1908,1948,m,us,12.44507791,0.995879092,1,1,"Williamson, Jack,",Darker than you think,teamblack | chifantasy | chiscifi | chihorror
10954,1949,1949,1905,1949,m,us,12.38224056,0.023741208,0,1,"Palmer, Stuart,",Four lost ladies,teamblack | chimyst | chirandom
